From,To,conf_level
,accidentBin0.0,0.5085910652920962
,accidentBin1.0,0.49140893470790376
,maxTbin1.0,0.5010309278350515
,maxTbin2.0,0.49896907216494846
,niceWeather0.0,0.7525773195876289
accidentBin0.0,maxTbin1.0,0.5486486486486487
maxTbin1.0,accidentBin0.0,0.5569272976680384
accidentBin0.0,niceWeather0.0,0.7432432432432433
niceWeather0.0,accidentBin0.0,0.502283105022831
accidentBin1.0,maxTbin2.0,0.5482517482517483
maxTbin2.0,accidentBin1.0,0.5399449035812672
accidentBin1.0,niceWeather0.0,0.7622377622377623
niceWeather0.0,accidentBin1.0,0.497716894977169
maxTbin1.0,niceWeather0.0,0.7421124828532236
niceWeather0.0,maxTbin1.0,0.4940639269406393
maxTbin2.0,niceWeather0.0,0.7630853994490358
niceWeather0.0,maxTbin2.0,0.5059360730593607
